Year,answer,mean,std
1971,50,140.4090909,270.1339496
1973,70,140.4090909,270.1339496
1973,60,140.4090909,270.1339496
1977,70,140.4090909,270.1339496
1979,75,140.4090909,270.1339496
1981,80,140.4090909,270.1339496
1983,100,140.4090909,270.1339496
1985,110,140.4090909,270.1339496
1987,200,140.4090909,270.1339496
1989,220,140.4090909,270.1339496
1991,500,140.4090909,270.1339496
1993,530,140.4090909,270.1339496
1995,200,140.4090909,270.1339496
1997,130,140.4090909,270.1339496
1999,110,140.4090909,270.1339496
2001,90,140.4090909,270.1339496
2003,85,140.4090909,270.1339496
2005,80,140.4090909,270.1339496
2007,85,140.4090909,270.1339496
2009,82,140.4090909,270.1339496
2011,80,140.4090909,270.1339496
2013,82,140.4090909,270.1339496
